split,featureset,cycle,confA,confB,n_estimators,max_features,max_depth,max_samples,criterion
class,f2f,13,mdd_tree,swc_swc,200,9,31,0.1,entropy
instance,f2f,13,tree_tree,gpw_gpw,200,5,2,0.431,gini
instance,f2f,13,tree_tree,gpw_tree,200,7,27,0.526,gini
instance,f2f,13,tree_tree,swc_gpw,200,9,31,0.1,entropy
instance,f2f,13,tree_tree,ggt_mdd,200,4,3,0.952,entropy
instance,f2f,13,gpw_gpw,gpw_tree,200,4,3,0.952,entropy
instance,f2f,13,gpw_gpw,swc_gpw,200,9,30,0.384,gini
instance,f2f,13,gpw_gpw,ggt_mdd,200,4,36,0.668,gini
instance,f2f,13,gpw_tree,swc_gpw,200,5,2,0.857,entropy
instance,f2f,13,gpw_tree,ggt_mdd,200,9,31,0.1,entropy
instance,f2f,13,swc_gpw,ggt_mdd,200,5,2,0.857,entropy
class,f2fsr,13,gpw_tree,tree_gpw,200,9,31,0.1,entropy
class,f2fsr,13,gpw_tree,gpw_gpw,200,6,3,0.1,gini
class,f2fsr,13,gpw_tree,mdd_tree,200,6,3,0.1,gini
class,f2fsr,13,gpw_tree,swc_swc,200,5,2,0.431,gini
class,f2fsr,13,tree_gpw,gpw_gpw,200,6,3,0.1,gini
class,f2fsr,13,tree_gpw,mdd_tree,200,9,31,0.1,entropy
class,f2fsr,13,tree_gpw,swc_swc,200,5,2,0.857,entropy
class,f2fsr,13,gpw_gpw,mdd_tree,200,5,2,0.431,gini
class,f2fsr,13,gpw_gpw,swc_swc,200,4,3,0.952,entropy
class,f2fsr,13,mdd_tree,swc_swc,200,5,2,0.431,gini
instance,f2fsr,13,tree_tree,gpw_gpw,200,5,3,0.62,gini
instance,f2fsr,13,tree_tree,gpw_tree,200,6,3,0.1,gini
instance,f2fsr,13,tree_tree,swc_gpw,200,9,33,0.195,entropy
instance,f2fsr,13,tree_tree,ggt_mdd,200,5,2,0.857,entropy
instance,f2fsr,13,gpw_gpw,gpw_tree,200,5,29,0.762,entropy
instance,f2fsr,13,gpw_gpw,swc_gpw,200,5,4,0.337,entropy
instance,f2fsr,13,gpw_gpw,ggt_mdd,200,5,19,0.62,gini
instance,f2fsr,13,gpw_tree,swc_gpw,200,6,3,0.1,gini
instance,f2fsr,13,gpw_tree,ggt_mdd,200,9,31,0.1,entropy
instance,f2fsr,13,swc_gpw,ggt_mdd,200,5,8,0.668,gini
class,sumpb,13,gpw_tree,tree_gpw,200,5,2,0.857,entropy
class,sumpb,13,gpw_tree,gpw_gpw,200,6,35,0.479,gini
class,sumpb,13,gpw_tree,mdd_tree,200,6,3,0.1,gini
class,sumpb,13,gpw_tree,swc_swc,200,6,3,0.1,gini
class,sumpb,13,tree_gpw,gpw_gpw,200,8,21,0.289,gini
class,sumpb,13,tree_gpw,mdd_tree,200,5,2,0.431,gini
class,sumpb,13,tree_gpw,swc_swc,200,4,3,0.952,entropy
class,sumpb,13,gpw_gpw,mdd_tree,200,8,27,0.952,entropy
class,sumpb,13,gpw_gpw,swc_swc,200,5,3,0.62,gini
class,sumpb,13,mdd_tree,swc_swc,200,5,2,0.857,entropy
instance,sumpb,13,tree_tree,gpw_gpw,200,6,3,0.1,gini
instance,sumpb,13,tree_tree,gpw_tree,200,5,3,0.62,gini
instance,sumpb,13,tree_tree,swc_gpw,200,4,36,0.668,gini
instance,sumpb,13,tree_tree,ggt_mdd,200,4,6,0.573,entropy
instance,sumpb,13,gpw_gpw,gpw_tree,200,5,13,0.479,entropy
instance,sumpb,13,gpw_gpw,swc_gpw,200,5,14,0.762,gini
instance,sumpb,13,gpw_gpw,ggt_mdd,200,6,3,0.1,gini
instance,sumpb,13,gpw_tree,swc_gpw,200,4,3,0.952,entropy
instance,sumpb,13,gpw_tree,ggt_mdd,200,5,2,0.857,entropy
instance,sumpb,13,swc_gpw,ggt_mdd,200,7,27,0.526,gini
class,combi,14,gpw_ggt,mdd_tree,200,11,5,0.526,gini
class,combi,14,gpw_ggt,ggt_mdd,200,5,2,0.999,gini
class,combi,14,gpw_ggt,swc_gpw,200,6,27,0.242,gini
class,combi,14,gpw_ggt,gpw_gpw,200,12,29,0.147,entropy
class,combi,14,mdd_tree,ggt_mdd,200,9,3,0.668,entropy
class,combi,14,mdd_tree,swc_gpw,200,7,33,0.1,gini
class,combi,14,mdd_tree,gpw_gpw,200,8,28,0.904,gini
class,combi,14,ggt_mdd,swc_gpw,200,12,18,0.952,gini
class,combi,14,ggt_mdd,gpw_gpw,200,7,4,0.857,entropy
class,combi,14,swc_gpw,gpw_gpw,200,6,16,0.384,gini
instance,combi,14,gpw_tree,gpw_gpw,200,7,7,0.242,gini
instance,combi,14,gpw_tree,tree_gpw,200,6,2,0.289,entropy
instance,combi,14,gpw_tree,ggt_mdd,200,6,2,0.289,entropy
instance,combi,14,gpw_tree,mdd_ggt,200,7,12,0.337,gini
instance,combi,14,gpw_gpw,tree_gpw,200,9,5,0.904,gini
instance,combi,14,gpw_gpw,ggt_mdd,200,12,29,0.147,entropy
instance,combi,14,gpw_gpw,mdd_ggt,200,5,2,0.999,gini
instance,combi,14,tree_gpw,ggt_mdd,200,6,14,0.147,entropy
instance,combi,14,tree_gpw,mdd_ggt,200,7,35,0.195,entropy
instance,combi,14,ggt_mdd,mdd_ggt,200,5,6,0.715,entropy
class,f2f,14,gpw_ggt,mdd_tree,200,4,15,0.147,gini
class,f2f,14,gpw_ggt,ggt_mdd,200,4,2,0.999,gini
class,f2f,14,gpw_ggt,swc_gpw,200,6,15,0.715,gini
class,f2f,14,gpw_ggt,gpw_gpw,200,4,17,0.289,gini
class,f2f,14,mdd_tree,ggt_mdd,200,4,15,0.147,gini
class,f2f,14,mdd_tree,swc_gpw,200,4,15,0.147,gini
class,f2f,14,mdd_tree,gpw_gpw,200,4,2,0.999,gini
class,f2f,14,ggt_mdd,swc_gpw,200,5,2,0.289,entropy
class,f2f,14,ggt_mdd,gpw_gpw,200,5,2,0.289,entropy
class,f2f,14,swc_gpw,gpw_gpw,200,7,25,0.384,gini
instance,f2f,14,gpw_tree,gpw_gpw,200,6,14,0.384,gini
instance,f2f,14,gpw_tree,tree_gpw,200,4,2,0.999,gini
instance,f2f,14,gpw_tree,ggt_mdd,200,4,2,0.999,gini
instance,f2f,14,gpw_tree,mdd_ggt,200,6,7,0.242,gini
instance,f2f,14,gpw_gpw,tree_gpw,200,8,11,0.62,entropy
instance,f2f,14,gpw_gpw,ggt_mdd,200,6,14,0.384,gini
instance,f2f,14,gpw_gpw,mdd_ggt,200,6,25,0.526,entropy
instance,f2f,14,tree_gpw,ggt_mdd,200,6,7,0.242,gini
instance,f2f,14,tree_gpw,mdd_ggt,200,5,2,0.289,entropy
instance,f2f,14,ggt_mdd,mdd_ggt,200,5,34,0.431,entropy
class,f2fsr,14,gpw_ggt,mdd_tree,200,5,2,0.289,entropy
class,f2fsr,14,gpw_ggt,ggt_mdd,200,5,2,0.289,entropy
class,f2fsr,14,gpw_ggt,swc_gpw,200,6,28,0.904,gini
class,f2fsr,14,gpw_ggt,gpw_gpw,200,5,2,0.289,entropy
class,f2fsr,14,mdd_tree,ggt_mdd,200,5,33,0.1,gini
class,f2fsr,14,mdd_tree,swc_gpw,200,5,27,0.242,gini
class,f2fsr,14,mdd_tree,gpw_gpw,200,4,2,0.999,gini
class,f2fsr,14,ggt_mdd,swc_gpw,200,9,21,0.762,gini
class,f2fsr,14,ggt_mdd,gpw_gpw,200,7,25,0.384,gini
class,f2fsr,14,swc_gpw,gpw_gpw,200,5,2,0.289,entropy
instance,f2fsr,14,gpw_tree,gpw_gpw,200,5,33,0.1,gini
instance,f2fsr,14,gpw_tree,tree_gpw,200,5,2,0.289,entropy
instance,f2fsr,14,gpw_tree,ggt_mdd,200,5,2,0.289,entropy
